 rm |      A_hex |                A_dec |                 A_fields ||      B_hex |                B_dec |                 B_fields ||    Out_hex |              Out_dec |               Out_fields |    Ref_hex |              Ref_dec |               Ref_fields | RESULT
010 | 0xABBB5C7C | -1.331281872934964e-12 |  s=0x1 e=0x57 m=0x3B5C7C || 0x8A7138F0 | -1.1614436668469087e-32 |  s=0x1 e=0x14 m=0x7138F0 || 0xABBB5C7C | -1.331281872934964e-12 |  s=0x1 e=0x57 m=0x3B5C7C | 0xABBB5C7D | -1.3312819813551813e-12 |  s=0x1 e=0x57 m=0x3B5C7D |   FAIL
010 | 0x0000AFC1 | 6.304862180536649e-41 |  s=0x0 e=0x00 m=0x00AFC1 || 0x41A00C18 |   20.005905151367188 |  s=0x0 e=0x83 m=0x200C18 || 0x41A00C18 |   20.005905151367188 |  s=0x0 e=0x83 m=0x200C18 | 0x41A00C18 |   20.005905151367188 |  s=0x0 e=0x83 m=0x200C18 |   PASS
010 | 0x34D5EC8A | 3.9846446497904253e-07 |  s=0x0 e=0x69 m=0x55EC8A || 0x4620837E |      10272.873046875 |  s=0x0 e=0x8C m=0x20837E || 0x4620837E |      10272.873046875 |  s=0x0 e=0x8C m=0x20837E | 0x4620837E |      10272.873046875 |  s=0x0 e=0x8C m=0x20837E |   PASS
100 | 0x7E6F9631 | 7.961633233986142e+37 |  s=0x0 e=0xFC m=0x6F9631 || 0x20EAE312 | 3.979140445965034e-19 |  s=0x0 e=0x41 m=0x6AE312 || 0x7E6F9631 | 7.961633233986142e+37 |  s=0x0 e=0xFC m=0x6F9631 | 0x7E6F9631 | 7.961633233986142e+37 |  s=0x0 e=0xFC m=0x6F9631 |   PASS
011 | 0x4BF104B6 |           31590764.0 |  s=0x0 e=0x97 m=0x7104B6 || 0xD30788B6 |      -582114213888.0 |  s=0x1 e=0xA6 m=0x0788B6 || 0xD30786D4 |      -582082625536.0 |  s=0x1 e=0xA6 m=0x0786D4 | 0xD30786D3 |      -582082560000.0 |  s=0x1 e=0xA6 m=0x0786D3 |   FAIL
010 | 0x005FB586 | 8.78949047464634e-39 |  s=0x0 e=0x00 m=0x5FB586 || 0xE2955F23 | -1.3777100950202556e+21 |  s=0x1 e=0xC5 m=0x155F23 || 0xE2955F23 | -1.3777100950202556e+21 |  s=0x1 e=0xC5 m=0x155F23 | 0xE2955F23 | -1.3777100950202556e+21 |  s=0x1 e=0xC5 m=0x155F23 |   PASS
001 | 0x994F392C | -1.071319494311361e-23 |  s=0x1 e=0x32 m=0x4F392C || 0x2744FA28 | 2.733607407817175e-15 |  s=0x0 e=0x4E m=0x44FA28 || 0x2744FA28 | 2.733607407817175e-15 |  s=0x0 e=0x4E m=0x44FA28 | 0x2744FA27 | 2.733607196058938e-15 |  s=0x0 e=0x4E m=0x44FA27 |   FAIL
001 | 0x180947B7 | 1.774304173086063e-24 |  s=0x0 e=0x30 m=0x0947B7 || 0x5EC5E1A0 | 7.129426908546073e+18 |  s=0x0 e=0xBD m=0x45E1A0 || 0x5EC5E1A0 | 7.129426908546073e+18 |  s=0x0 e=0xBD m=0x45E1A0 | 0x5EC5E1A0 | 7.129426908546073e+18 |  s=0x0 e=0xBD m=0x45E1A0 |   PASS
010 | 0x06BDB79F | 7.136370528572562e-35 |  s=0x0 e=0x0D m=0x3DB79F || 0x433E616F |   190.38059997558594 |  s=0x0 e=0x86 m=0x3E616F || 0x433E616F |   190.38059997558594 |  s=0x0 e=0x86 m=0x3E616F | 0x433E616F |   190.38059997558594 |  s=0x0 e=0x86 m=0x3E616F |   PASS
000 | 0x80108516 | -1.517110177207406e-39 |  s=0x1 e=0x00 m=0x108516 || 0xA81250AD | -8.122121851223286e-15 |  s=0x1 e=0x50 m=0x1250AD || 0xA81250AD | -8.122121851223286e-15 |  s=0x1 e=0x50 m=0x1250AD | 0xA81250AD | -8.122121851223286e-15 |  s=0x1 e=0x50 m=0x1250AD |   PASS
100 | 0xCB376D8B |          -12021131.0 |  s=0x1 e=0x96 m=0x376D8B || 0xE3A45737 | -6.063101039786771e+21 |  s=0x1 e=0xC7 m=0x245737 || 0xE3A45737 | -6.063101039786771e+21 |  s=0x1 e=0xC7 m=0x245737 | 0xE3A45737 | -6.063101039786771e+21 |  s=0x1 e=0xC7 m=0x245737 |   PASS
010 | 0x699B1212 | 2.3433604584794063e+25 |  s=0x0 e=0xD3 m=0x1B1212 || 0x3EE9FD9A |  0.45701295137405396 |  s=0x0 e=0x7D m=0x69FD9A || 0x699B1212 | 2.3433604584794063e+25 |  s=0x0 e=0xD3 m=0x1B1212 | 0x699B1212 | 2.3433604584794063e+25 |  s=0x0 e=0xD3 m=0x1B1212 |   PASS
000 | 0x593F7110 |   3367877130321920.0 |  s=0x0 e=0xB2 m=0x3F7110 || 0xA51F2323 | -1.380295641739148e-16 |  s=0x1 e=0x4A m=0x1F2323 || 0x593F7110 |   3367877130321920.0 |  s=0x0 e=0xB2 m=0x3F7110 | 0x593F7110 |   3367877130321920.0 |  s=0x0 e=0xB2 m=0x3F7110 |   PASS
100 | 0x08291616 | 5.088254948873931e-34 |  s=0x0 e=0x10 m=0x291616 || 0x06168BB0 | 2.8314490586691455e-35 |  s=0x0 e=0x0C m=0x168BB0 || 0x08327ED1 | 5.371399854740846e-34 |  s=0x0 e=0x10 m=0x327ED1 | 0x08327ED1 | 5.371399854740846e-34 |  s=0x0 e=0x10 m=0x327ED1 |   PASS
100 | 0x4F038436 |         2206479872.0 |  s=0x0 e=0x9E m=0x038436 || 0x8D2CF05D | -5.329091884509332e-31 |  s=0x1 e=0x1A m=0x2CF05D || 0x4F038436 |         2206479872.0 |  s=0x0 e=0x9E m=0x038436 | 0x4F038436 |         2206479872.0 |  s=0x0 e=0x9E m=0x038436 |   PASS
001 | 0xBB482041 | -0.00305368029512465 |  s=0x1 e=0x76 m=0x482041 || 0x0FF8A3C2 | 2.4517765276795586e-29 |  s=0x0 e=0x1F m=0x78A3C2 || 0xBB482041 | -0.00305368029512465 |  s=0x1 e=0x76 m=0x482041 | 0xBB482040 | -0.0030536800622940063 |  s=0x1 e=0x76 m=0x482040 |   FAIL
011 | 0x0050739D | 7.388313923287919e-39 |  s=0x0 e=0x00 m=0x50739D || 0xF5BCF070 | -4.790178033513797e+32 |  s=0x1 e=0xEB m=0x3CF070 || 0xF5BCF070 | -4.790178033513797e+32 |  s=0x1 e=0xEB m=0x3CF070 | 0xF5BCF06F | -4.7901776466575346e+32 |  s=0x1 e=0xEB m=0x3CF06F |   FAIL
011 | 0xC96AB33A |          -961331.625 |  s=0x1 e=0x92 m=0x6AB33A || 0xA3FAA5DE | -2.7175301798478064e-17 |  s=0x1 e=0x47 m=0x7AA5DE || 0xC96AB33A |          -961331.625 |  s=0x1 e=0x92 m=0x6AB33A | 0xC96AB33A |          -961331.625 |  s=0x1 e=0x92 m=0x6AB33A |   PASS
100 | 0xEF891DB5 | -8.4870719885253e+28 |  s=0x1 e=0xDF m=0x091DB5 || 0xDA923AE5 | -2.0580050910838784e+16 |  s=0x1 e=0xB5 m=0x123AE5 || 0xEF891DB5 | -8.4870719885253e+28 |  s=0x1 e=0xDF m=0x091DB5 | 0xEF891DB5 | -8.4870719885253e+28 |  s=0x1 e=0xDF m=0x091DB5 |   PASS
001 | 0x0024B48D | 3.370847278007241e-39 |  s=0x0 e=0x00 m=0x24B48D || 0xD81DB870 |   -693661914365952.0 |  s=0x1 e=0xB0 m=0x1DB870 || 0xD81DB870 |   -693661914365952.0 |  s=0x1 e=0xB0 m=0x1DB870 | 0xD81DB86F |   -693661847257088.0 |  s=0x1 e=0xB0 m=0x1DB86F |   FAIL
010 | 0x6857E836 | 4.0783693182086095e+24 |  s=0x0 e=0xD0 m=0x57E836 || 0xCCFA07DC |         -131088096.0 |  s=0x1 e=0x99 m=0x7A07DC || 0x6857E836 | 4.0783693182086095e+24 |  s=0x0 e=0xD0 m=0x57E836 | 0x6857E835 | 4.0783690299782334e+24 |  s=0x0 e=0xD0 m=0x57E835 |   FAIL
011 | 0x00689C00 | 9.606853855902362e-39 |  s=0x0 e=0x00 m=0x689C00 || 0xC71113F9 |      -37139.97265625 |  s=0x1 e=0x8E m=0x1113F9 || 0xC71113F9 |      -37139.97265625 |  s=0x1 e=0x8E m=0x1113F9 | 0xC71113F8 |         -37139.96875 |  s=0x1 e=0x8E m=0x1113F8 |   FAIL
010 | 0xA07501C4 | -2.0752891404037974e-19 |  s=0x1 e=0x40 m=0x7501C4 || 0x192A07C2 | 8.790360686133688e-24 |  s=0x0 e=0x32 m=0x2A07C2 || 0xA074FF1C | -2.0752012524637136e-19 |  s=0x1 e=0x40 m=0x74FF1C | 0xA074FF1C | -2.0752012524637136e-19 |  s=0x1 e=0x40 m=0x74FF1C |   PASS
011 | 0xDBCA99D8 | -1.1405419657507635e+17 |  s=0x1 e=0xB7 m=0x4A99D8 || 0xD5F1CC74 |    -33232552722432.0 |  s=0x1 e=0xAB m=0x71CC74 || 0xDBCAA8F4 | -1.140874224420782e+17 |  s=0x1 e=0xB7 m=0x4AA8F4 | 0xDBCAA8F4 | -1.140874224420782e+17 |  s=0x1 e=0xB7 m=0x4AA8F4 |   PASS
010 | 0x1F6917E4 | 4.935943103938477e-20 |  s=0x0 e=0x3E m=0x6917E4 || 0xD6B4B99F |    -99354664763392.0 |  s=0x1 e=0xAD m=0x34B99F || 0xD6B4B99F |    -99354664763392.0 |  s=0x1 e=0xAD m=0x34B99F | 0xD6B4B99F |    -99354664763392.0 |  s=0x1 e=0xAD m=0x34B99F |   PASS
100 | 0x645073A2 | 1.5381019958368702e+22 |  s=0x0 e=0xC8 m=0x5073A2 || 0xA07B5146 | -2.1287418100809155e-19 |  s=0x1 e=0x40 m=0x7B5146 || 0x645073A2 | 1.5381019958368702e+22 |  s=0x0 e=0xC8 m=0x5073A2 | 0x645073A2 | 1.5381019958368702e+22 |  s=0x0 e=0xC8 m=0x5073A2 |   PASS
010 | 0x002D01CF | 4.133246128298587e-39 |  s=0x0 e=0x00 m=0x2D01CF || 0x932242DB | -2.0480236954326814e-27 |  s=0x1 e=0x26 m=0x2242DB || 0x932242DB | -2.0480236954326814e-27 |  s=0x1 e=0x26 m=0x2242DB | 0x932242DB | -2.0480236954326814e-27 |  s=0x1 e=0x26 m=0x2242DB |   PASS
001 | 0x1DC5A093 | 5.2311495666125176e-21 |  s=0x0 e=0x3B m=0x45A093 || 0xCD27F186 |         -176101472.0 |  s=0x1 e=0x9A m=0x27F186 || 0xCD27F186 |         -176101472.0 |  s=0x1 e=0x9A m=0x27F186 | 0xCD27F185 |         -176101456.0 |  s=0x1 e=0x9A m=0x27F185 |   FAIL
011 | 0xBACAB25B | -0.001546453102491796 |  s=0x1 e=0x75 m=0x4AB25B || 0xB7A9998D | -2.0217872588546015e-05 |  s=0x1 e=0x6F m=0x29998D || 0xBACD58C1 | -0.0015666709514334798 |  s=0x1 e=0x75 m=0x4D58C1 | 0xBACD58C1 | -0.0015666709514334798 |  s=0x1 e=0x75 m=0x4D58C1 |   PASS
011 | 0xF44BF186 | -6.463225949528973e+31 |  s=0x1 e=0xE8 m=0x4BF186 || 0x984DAED1 | -2.6583888726067558e-24 |  s=0x1 e=0x30 m=0x4DAED1 || 0xF44BF186 | -6.463225949528973e+31 |  s=0x1 e=0xE8 m=0x4BF186 | 0xF44BF186 | -6.463225949528973e+31 |  s=0x1 e=0xE8 m=0x4BF186 |   PASS
001 | 0x802CBD52 | -4.10867716232358e-39 |  s=0x1 e=0x00 m=0x2CBD52 || 0x62688604 | 1.0723253671504013e+21 |  s=0x0 e=0xC4 m=0x688604 || 0x62688604 | 1.0723253671504013e+21 |  s=0x0 e=0xC4 m=0x688604 | 0x62688603 | 1.0723252967816571e+21 |  s=0x0 e=0xC4 m=0x688603 |   FAIL
011 | 0xE9858F8F | -2.0183133787524822e+25 |  s=0x1 e=0xD3 m=0x058F8F || 0x37F1B27F | 2.881255750253331e-05 |  s=0x0 e=0x6F m=0x71B27F || 0xE9858F8F | -2.0183133787524822e+25 |  s=0x1 e=0xD3 m=0x058F8F | 0xE9858F8E | -2.0183131481681813e+25 |  s=0x1 e=0xD3 m=0x058F8E |   FAIL
010 | 0x730BB3CC | 1.1068359027107965e+31 |  s=0x0 e=0xE6 m=0x0BB3CC || 0x0F2B16B5 | 8.435324139692815e-30 |  s=0x0 e=0x1E m=0x2B16B5 || 0x730BB3CC | 1.1068359027107965e+31 |  s=0x0 e=0xE6 m=0x0BB3CC | 0x730BB3CC | 1.1068359027107965e+31 |  s=0x0 e=0xE6 m=0x0BB3CC |   PASS
100 | 0xAD9D4836 | -1.7880901620470624e-11 |  s=0x1 e=0x5B m=0x1D4836 || 0xFEC60E79 | -1.3163114474649744e+38 |  s=0x1 e=0xFD m=0x460E79 || 0xFEC60E79 | -1.3163114474649744e+38 |  s=0x1 e=0xFD m=0x460E79 | 0xFEC60E79 | -1.3163114474649744e+38 |  s=0x1 e=0xFD m=0x460E79 |   PASS
010 | 0xBF95A5B9 |   -1.169119954109192 |  s=0x1 e=0x7F m=0x15A5B9 || 0x4863CD58 |           233269.375 |  s=0x0 e=0x90 m=0x63CD58 || 0x4863CD0E |         233268.21875 |  s=0x0 e=0x90 m=0x63CD0E | 0x4863CD0D |        233268.203125 |  s=0x0 e=0x90 m=0x63CD0D |   FAIL
001 | 0xAAA5AADB | -2.942844264715999e-13 |  s=0x1 e=0x55 m=0x25AADB || 0x0A47648E | 9.60041370806329e-33 |  s=0x0 e=0x14 m=0x47648E || 0xAAA5AADB | -2.942844264715999e-13 |  s=0x1 e=0x55 m=0x25AADB | 0xAAA5AADA | -2.942843993665456e-13 |  s=0x1 e=0x55 m=0x25AADA |   FAIL
000 | 0x46D6DC63 |      27502.193359375 |  s=0x0 e=0x8D m=0x56DC63 || 0xAE9EBDFC | -7.218756148397176e-11 |  s=0x1 e=0x5D m=0x1EBDFC || 0x46D6DC63 |      27502.193359375 |  s=0x0 e=0x8D m=0x56DC63 | 0x46D6DC63 |      27502.193359375 |  s=0x0 e=0x8D m=0x56DC63 |   PASS
000 | 0x006A1573 | 9.742257122614676e-39 |  s=0x0 e=0x00 m=0x6A1573 || 0x67B42DE8 | 1.7017455755233397e+24 |  s=0x0 e=0xCF m=0x342DE8 || 0x67B42DE8 | 1.7017455755233397e+24 |  s=0x0 e=0xCF m=0x342DE8 | 0x67B42DE8 | 1.7017455755233397e+24 |  s=0x0 e=0xCF m=0x342DE8 |   PASS
010 | 0x003A9117 | 5.378507206023907e-39 |  s=0x0 e=0x00 m=0x3A9117 || 0xFF67DAAE | -3.081871168807472e+38 |  s=0x1 e=0xFE m=0x67DAAE || 0xFF67DAAE | -3.081871168807472e+38 |  s=0x1 e=0xFE m=0x67DAAE | 0xFF67DAAE | -3.081871168807472e+38 |  s=0x1 e=0xFE m=0x67DAAE |   PASS
000 | 0x88AA413C | -1.0246839357415575e-33 |  s=0x1 e=0x11 m=0x2A413C || 0xC73522CB |      -46370.79296875 |  s=0x1 e=0x8E m=0x3522CB || 0xC73522CB |      -46370.79296875 |  s=0x1 e=0x8E m=0x3522CB | 0xC73522CB |      -46370.79296875 |  s=0x1 e=0x8E m=0x3522CB |   PASS
010 | 0xB74F00BD | -1.2338333363004494e-05 |  s=0x1 e=0x6E m=0x4F00BD || 0x8FD9B065 | -2.146579675607205e-29 |  s=0x1 e=0x1F m=0x59B065 || 0xB74F00BD | -1.2338333363004494e-05 |  s=0x1 e=0x6E m=0x4F00BD | 0xB74F00BE | -1.2338334272499196e-05 |  s=0x1 e=0x6E m=0x4F00BE |   FAIL
011 | 0x5817DF58 |    667942039584768.0 |  s=0x0 e=0xB0 m=0x17DF58 || 0x5A602D97 | 1.577513033662464e+16 |  s=0x0 e=0xB4 m=0x602D97 || 0x5A69AB8C | 1.6443071839338496e+16 |  s=0x0 e=0xB4 m=0x69AB8C | 0x5A69AB8D | 1.644307291308032e+16 |  s=0x0 e=0xB4 m=0x69AB8D |   FAIL
001 | 0x38931E1A | 7.015113078523427e-05 |  s=0x0 e=0x71 m=0x131E1A || 0x7BD03AE5 | 2.1623845391629434e+36 |  s=0x0 e=0xF7 m=0x503AE5 || 0x7BD03AE5 | 2.1623845391629434e+36 |  s=0x0 e=0xF7 m=0x503AE5 | 0x7BD03AE5 | 2.1623845391629434e+36 |  s=0x0 e=0xF7 m=0x503AE5 |   PASS
011 | 0xEA569522 | -6.485359629819418e+25 |  s=0x1 e=0xD4 m=0x569522 || 0x09684BD2 | 2.7961634733223452e-33 |  s=0x0 e=0x12 m=0x684BD2 || 0xEA569522 | -6.485359629819418e+25 |  s=0x1 e=0xD4 m=0x569522 | 0xEA569521 | -6.485359168650816e+25 |  s=0x1 e=0xD4 m=0x569521 |   FAIL
011 | 0x8014E90E | -1.9203141921383715e-39 |  s=0x1 e=0x00 m=0x14E90E || 0x83CF7C83 | -1.2194953019682902e-36 |  s=0x1 e=0x07 m=0x4F7C83 || 0x83CFD027 | -1.22141559654225e-36 |  s=0x1 e=0x07 m=0x4FD027 | 0x83CFD027 | -1.22141559654225e-36 |  s=0x1 e=0x07 m=0x4FD027 |   PASS
001 | 0x4FC7A466 |         6698880000.0 |  s=0x0 e=0x9F m=0x47A466 || 0xCF97A077 |        -5087751680.0 |  s=0x1 e=0x9F m=0x17A077 || 0x4EC00FBC |         1611128320.0 |  s=0x0 e=0x9D m=0x400FBC | 0x4EC00FBC |         1611128320.0 |  s=0x0 e=0x9D m=0x400FBC |   PASS
001 | 0x82CE52B1 | -3.031644207317997e-37 |  s=0x1 e=0x05 m=0x4E52B1 || 0x479E1C00 |              80952.0 |  s=0x0 e=0x8F m=0x1E1C00 || 0x479E1C00 |              80952.0 |  s=0x0 e=0x8F m=0x1E1C00 | 0x479E1BFF |        80951.9921875 |  s=0x0 e=0x8F m=0x1E1BFF |   FAIL
011 | 0xA57FF60C | -2.2201088242581875e-16 |  s=0x1 e=0x4A m=0x7FF60C || 0x2F3725AF | 1.6657140944342785e-10 |  s=0x0 e=0x5E m=0x3725AF || 0x2F3725A0 | 1.6657120127661074e-10 |  s=0x0 e=0x5E m=0x3725A0 | 0x2F3725A0 | 1.6657120127661074e-10 |  s=0x0 e=0x5E m=0x3725A0 |   PASS
001 | 0x506B685E |        15797942272.0 |  s=0x0 e=0xA0 m=0x6B685E || 0x2929117B | 3.754070012208614e-14 |  s=0x0 e=0x52 m=0x29117B || 0x506B685E |        15797942272.0 |  s=0x0 e=0xA0 m=0x6B685E | 0x506B685E |        15797942272.0 |  s=0x0 e=0xA0 m=0x6B685E |   PASS
011 | 0x62BF999C | 1.767198420031347e+21 |  s=0x0 e=0xC5 m=0x3F999C || 0x13018B8D | 1.6350892931024918e-27 |  s=0x0 e=0x26 m=0x018B8D || 0x62BF999C | 1.767198420031347e+21 |  s=0x0 e=0xC5 m=0x3F999C | 0x62BF999D | 1.7671985607688355e+21 |  s=0x0 e=0xC5 m=0x3F999D |   FAIL
100 | 0x002B510B | 3.977999074032969e-39 |  s=0x0 e=0x00 m=0x2B510B || 0x91C41E55 | -3.094204104218637e-28 |  s=0x1 e=0x23 m=0x441E55 || 0x91C41E55 | -3.094204104218637e-28 |  s=0x1 e=0x23 m=0x441E55 | 0x91C41E55 | -3.094204104218637e-28 |  s=0x1 e=0x23 m=0x441E55 |   PASS
010 | 0x6D93305D | 5.694095507895267e+27 |  s=0x0 e=0xDB m=0x13305D || 0xEDB2E318 | -6.920358905755941e+27 |  s=0x1 e=0xDB m=0x32E318 || 0xEC7D95D8 | -1.2262633978606747e+27 |  s=0x1 e=0xD8 m=0x7D95D8 | 0xEC7D95D8 | -1.2262633978606747e+27 |  s=0x1 e=0xD8 m=0x7D95D8 |   PASS
011 | 0x878CFA2C | -2.121189657963395e-34 |  s=0x1 e=0x0F m=0x0CFA2C || 0x45DA298B |     6981.19287109375 |  s=0x0 e=0x8B m=0x5A298B || 0x45DA298B |     6981.19287109375 |  s=0x0 e=0x8B m=0x5A298B | 0x45DA298B |     6981.19287109375 |  s=0x0 e=0x8B m=0x5A298B |   PASS
001 | 0x59C1C808 |   6818075898806272.0 |  s=0x0 e=0xB3 m=0x41C808 || 0x898D0630 | -3.39503339668616e-33 |  s=0x1 e=0x13 m=0x0D0630 || 0x59C1C808 |   6818075898806272.0 |  s=0x0 e=0xB3 m=0x41C808 | 0x59C1C807 |   6818075361935360.0 |  s=0x0 e=0xB3 m=0x41C807 |   FAIL
100 | 0xE6BA6DE2 | -4.4019357296702046e+23 |  s=0x1 e=0xCD m=0x3A6DE2 || 0x588943CE |   1207394495365120.0 |  s=0x0 e=0xB1 m=0x0943CE || 0xE6BA6DE2 | -4.4019357296702046e+23 |  s=0x1 e=0xCD m=0x3A6DE2 | 0xE6BA6DE2 | -4.4019357296702046e+23 |  s=0x1 e=0xCD m=0x3A6DE2 |   PASS
011 | 0x83CDCF83 | -1.2096459450053456e-36 |  s=0x1 e=0x07 m=0x4DCF83 || 0x5DA81BF2 | 1.5141927130696253e+18 |  s=0x0 e=0xBB m=0x281BF2 || 0x5DA81BF2 | 1.5141927130696253e+18 |  s=0x0 e=0xBB m=0x281BF2 | 0x5DA81BF2 | 1.5141927130696253e+18 |  s=0x0 e=0xBB m=0x281BF2 |   PASS
011 | 0xB43E4825 | -1.7721374945267598e-07 |  s=0x1 e=0x68 m=0x3E4825 || 0xCD92409A |         -306713408.0 |  s=0x1 e=0x9B m=0x12409A || 0xCD92409A |         -306713408.0 |  s=0x1 e=0x9B m=0x12409A | 0xCD92409A |         -306713408.0 |  s=0x1 e=0x9B m=0x12409A |   PASS
000 | 0x806E0D53 | -1.0106684406440845e-38 |  s=0x1 e=0x00 m=0x6E0D53 || 0xE07C52E2 | -7.2727372541103964e+19 |  s=0x1 e=0xC0 m=0x7C52E2 || 0xE07C52E2 | -7.2727372541103964e+19 |  s=0x1 e=0xC0 m=0x7C52E2 | 0xE07C52E2 | -7.2727372541103964e+19 |  s=0x1 e=0xC0 m=0x7C52E2 |   PASS
011 | 0xF4880ED6 | -8.623697281762277e+31 |  s=0x1 e=0xE9 m=0x080ED6 || 0x9DFCD659 | -6.692547487827138e-21 |  s=0x1 e=0x3B m=0x7CD659 || 0xF4880ED6 | -8.623697281762277e+31 |  s=0x1 e=0xE9 m=0x080ED6 | 0xF4880ED6 | -8.623697281762277e+31 |  s=0x1 e=0xE9 m=0x080ED6 |   PASS
010 | 0xBCE30395 | -0.027711668983101845 |  s=0x1 e=0x79 m=0x630395 || 0x44F9F033 |   1999.5062255859375 |  s=0x0 e=0x89 m=0x79F033 || 0x44F9EF50 |       1999.478515625 |  s=0x0 e=0x89 m=0x79EF50 | 0x44F9EF4F |   1999.4783935546875 |  s=0x0 e=0x89 m=0x79EF4F |   FAIL
100 | 0x805D701F | -8.580922612514698e-39 |  s=0x1 e=0x00 m=0x5D701F || 0xD0462024 |       -13295980544.0 |  s=0x1 e=0xA0 m=0x462024 || 0xD0462024 |       -13295980544.0 |  s=0x1 e=0xA0 m=0x462024 | 0xD0462024 |       -13295980544.0 |  s=0x1 e=0xA0 m=0x462024 |   PASS
100 | 0x801B6CD8 | -2.5186041766757094e-39 |  s=0x1 e=0x00 m=0x1B6CD8 || 0x17DFDB96 | 1.4466468517979896e-24 |  s=0x0 e=0x2F m=0x5FDB96 || 0x17DFDB96 | 1.4466468517979896e-24 |  s=0x0 e=0x2F m=0x5FDB96 | 0x17DFDB96 | 1.4466468517979896e-24 |  s=0x0 e=0x2F m=0x5FDB96 |   PASS
010 | 0x8000DA0B | -7.821907898014696e-41 |  s=0x1 e=0x00 m=0x00DA0B || 0xDCA6F510 | -3.75954361618006e+17 |  s=0x1 e=0xB9 m=0x26F510 || 0xDCA6F510 | -3.75954361618006e+17 |  s=0x1 e=0xB9 m=0x26F510 | 0xDCA6F511 | -3.759543959777444e+17 |  s=0x1 e=0xB9 m=0x26F511 |   FAIL
100 | 0x22331D17 | 2.4274423644417368e-18 |  s=0x0 e=0x44 m=0x331D17 || 0x36BC61BA | 5.614213478111196e-06 |  s=0x0 e=0x6D m=0x3C61BA || 0x36BC61BA | 5.614213478111196e-06 |  s=0x0 e=0x6D m=0x3C61BA | 0x36BC61BA | 5.614213478111196e-06 |  s=0x0 e=0x6D m=0x3C61BA |   PASS
001 | 0xF49F881F | -1.0111524222243313e+32 |  s=0x1 e=0xE9 m=0x1F881F || 0x9A56D5B5 | -4.4426793936641926e-23 |  s=0x1 e=0x34 m=0x56D5B5 || 0xF49F881F | -1.0111524222243313e+32 |  s=0x1 e=0xE9 m=0x1F881F | 0xF49F881F | -1.0111524222243313e+32 |  s=0x1 e=0xE9 m=0x1F881F |   PASS
010 | 0x57F42F54 |    536968219852800.0 |  s=0x0 e=0xAF m=0x742F54 || 0x91DD7254 | -3.493811215778413e-28 |  s=0x1 e=0x23 m=0x5D7254 || 0x57F42F54 |    536968219852800.0 |  s=0x0 e=0xAF m=0x742F54 | 0x57F42F53 |    536968186298368.0 |  s=0x0 e=0xAF m=0x742F53 |   FAIL
100 | 0x708B5845 | 3.4500102144464296e+29 |  s=0x0 e=0xE1 m=0x0B5845 || 0x9D7C855F | -3.3420873537528696e-21 |  s=0x1 e=0x3A m=0x7C855F || 0x708B5845 | 3.4500102144464296e+29 |  s=0x0 e=0xE1 m=0x0B5845 | 0x708B5845 | 3.4500102144464296e+29 |  s=0x0 e=0xE1 m=0x0B5845 |   PASS
010 | 0x3586446F | 1.000369479697838e-06 |  s=0x0 e=0x6B m=0x06446F || 0x8BF035A1 | -9.252532914029952e-32 |  s=0x1 e=0x17 m=0x7035A1 || 0x3586446F | 1.000369479697838e-06 |  s=0x0 e=0x6B m=0x06446F | 0x3586446E | 1.0003693660110002e-06 |  s=0x0 e=0x6B m=0x06446E |   FAIL
011 | 0x84B888FD | -4.338399597802442e-36 |  s=0x1 e=0x09 m=0x3888FD || 0xBEAE2A00 |  -0.3401641845703125 |  s=0x1 e=0x7D m=0x2E2A00 || 0xBEAE2A00 |  -0.3401641845703125 |  s=0x1 e=0x7D m=0x2E2A00 | 0xBEAE2A00 |  -0.3401641845703125 |  s=0x1 e=0x7D m=0x2E2A00 |   PASS
100 | 0xE76F8FDB | -1.13129925442148e+24 |  s=0x1 e=0xCE m=0x6F8FDB || 0xD44B5027 |     -3492892377088.0 |  s=0x1 e=0xA8 m=0x4B5027 || 0xE76F8FDB | -1.13129925442148e+24 |  s=0x1 e=0xCE m=0x6F8FDB | 0xE76F8FDB | -1.13129925442148e+24 |  s=0x1 e=0xCE m=0x6F8FDB |   PASS
000 | 0x00000000 |                  0.0 |  s=0x0 e=0x00 m=0x000000 || 0x00000000 |                  0.0 |  s=0x0 e=0x00 m=0x000000 || 0x00000000 |                  0.0 |  s=0x0 e=0x00 m=0x000000 | 0x00000000 |                  0.0 |  s=0x0 e=0x00 m=0x000000 |   PASS
000 | 0xAE725CF9 | -5.5107005764165606e-11 |  s=0x1 e=0x5C m=0x725CF9 || 0x8A8727C0 | -1.3014979412756302e-32 |  s=0x1 e=0x15 m=0x0727C0 || 0xAE725CF9 | -5.5107005764165606e-11 |  s=0x1 e=0x5C m=0x725CF9 | 0xAE725CF9 | -5.5107005764165606e-11 |  s=0x1 e=0x5C m=0x725CF9 |   PASS
001 | 0xA7016218 | -1.7955523000509274e-15 |  s=0x1 e=0x4E m=0x016218 || 0x84E356C6 | -5.344713234419332e-36 |  s=0x1 e=0x09 m=0x6356C6 || 0xA7016218 | -1.7955523000509274e-15 |  s=0x1 e=0x4E m=0x016218 | 0xA7016218 | -1.7955523000509274e-15 |  s=0x1 e=0x4E m=0x016218 |   PASS
