 rm |      A_hex |                A_dec |                 A_fields ||      B_hex |                B_dec |                 B_fields ||    Out_hex |              Out_dec |               Out_fields |    Ref_hex |              Ref_dec |               Ref_fields | RESULT
100 | 0x2385B569 | 1.449671908371236e-17 |  s=0x0 e=0x47 m=0x05B569 || 0xDDBD011E | -1.7023999666867405e+18 |  s=0x1 e=0xBB m=0x3D011E || 0xDDBD011E | -1.7023999666867405e+18 |  s=0x1 e=0xBB m=0x3D011E | 0xDDBD011E | -1.7023999666867405e+18 |  s=0x1 e=0xBB m=0x3D011E |   PASS
011 | 0x8CAAFBF6 | -2.6344290716899886e-31 |  s=0x1 e=0x19 m=0x2AFBF6 || 0xDBF8E855 | -1.4012249198821376e+17 |  s=0x1 e=0xB7 m=0x78E855 || 0xDBF8E855 | -1.4012249198821376e+17 |  s=0x1 e=0xB7 m=0x78E855 | 0xDBF8E855 | -1.4012249198821376e+17 |  s=0x1 e=0xB7 m=0x78E855 |   PASS
100 | 0xF2415E30 | -3.830046246153891e+30 |  s=0x1 e=0xE4 m=0x415E30 || 0x20AE8BA0 | 2.9569142638871825e-19 |  s=0x0 e=0x41 m=0x2E8BA0 || 0xF2415E30 | -3.830046246153891e+30 |  s=0x1 e=0xE4 m=0x415E30 | 0xF2415E30 | -3.830046246153891e+30 |  s=0x1 e=0xE4 m=0x415E30 |   PASS
000 | 0x57218163 |    177577083797504.0 |  s=0x0 e=0xAE m=0x218163 || 0xA298AA73 | -4.1380152684592925e-18 |  s=0x1 e=0x45 m=0x18AA73 || 0x57218163 |    177577083797504.0 |  s=0x0 e=0xAE m=0x218163 | 0x57218163 |    177577083797504.0 |  s=0x0 e=0xAE m=0x218163 |   PASS
011 | 0x68E20A96 | 8.539600809667061e+24 |  s=0x0 e=0xD1 m=0x620A96 || 0x22522FDE | 2.8485647705810053e-18 |  s=0x0 e=0x44 m=0x522FDE || 0x68E20A96 | 8.539600809667061e+24 |  s=0x0 e=0xD1 m=0x620A96 | 0x68E20A97 | 8.539601386127813e+24 |  s=0x0 e=0xD1 m=0x620A97 |   FAIL
000 | 0xC060294C |  -3.5025205612182617 |  s=0x1 e=0x80 m=0x60294C || 0xA3AE7307 | -1.8913833776243475e-17 |  s=0x1 e=0x47 m=0x2E7307 || 0xC060294C |  -3.5025205612182617 |  s=0x1 e=0x80 m=0x60294C | 0xC060294C |  -3.5025205612182617 |  s=0x1 e=0x80 m=0x60294C |   PASS
011 | 0x0056E06D | 7.978361470258098e-39 |  s=0x0 e=0x00 m=0x56E06D || 0xB0BE3F64 | -1.3842336166192126e-09 |  s=0x1 e=0x61 m=0x3E3F64 || 0xB0BE3F64 | -1.3842336166192126e-09 |  s=0x1 e=0x61 m=0x3E3F64 | 0xB0BE3F63 | -1.3842335055969102e-09 |  s=0x1 e=0x61 m=0x3E3F63 |   FAIL
001 | 0x001F2970 | 2.8617653550072852e-39 |  s=0x0 e=0x00 m=0x1F2970 || 0x848EDB37 | -3.358535660276274e-36 |  s=0x1 e=0x09 m=0x0EDB37 || 0x848EBC0E | -3.355674051866695e-36 |  s=0x1 e=0x09 m=0x0EBC0E | 0x848EBC0D | -3.355673693134288e-36 |  s=0x1 e=0x09 m=0x0EBC0D |   FAIL
000 | 0x60345CF9 | 5.19861456123189e+19 |  s=0x0 e=0xC0 m=0x345CF9 || 0xE2C9E6A5 | -1.8622076244077503e+21 |  s=0x1 e=0xC5 m=0x49E6A5 || 0xE2C443BE | -1.8102215887465942e+21 |  s=0x1 e=0xC5 m=0x4443BE | 0xE2C443BD | -1.8102214480091058e+21 |  s=0x1 e=0xC5 m=0x4443BD |   FAIL
001 | 0x0064FD2A | 9.274367769272013e-39 |  s=0x0 e=0x00 m=0x64FD2A || 0xAAE04963 | -3.9841315468101823e-13 |  s=0x1 e=0x55 m=0x604963 || 0xAAE04963 | -3.9841315468101823e-13 |  s=0x1 e=0x55 m=0x604963 | 0xAAE04962 | -3.984131275759639e-13 |  s=0x1 e=0x55 m=0x604962 |   FAIL
010 | 0x800E9DFD | -1.3423724626014942e-39 |  s=0x1 e=0x00 m=0x0E9DFD || 0x952FF314 | -3.5532723383628255e-26 |  s=0x1 e=0x2A m=0x2FF314 || 0x952FF314 | -3.5532723383628255e-26 |  s=0x1 e=0x2A m=0x2FF314 | 0x952FF315 | -3.5532726465116166e-26 |  s=0x1 e=0x2A m=0x2FF315 |   FAIL
011 | 0x5B1D2CE0 | 4.424091192786944e+16 |  s=0x0 e=0xB6 m=0x1D2CE0 || 0xE5785BE6 | -7.330263216931302e+22 |  s=0x1 e=0xCA m=0x785BE6 || 0xE5785BDD | -7.330259163691637e+22 |  s=0x1 e=0xCA m=0x785BDD | 0xE5785BDC | -7.3302587133316745e+22 |  s=0x1 e=0xCA m=0x785BDC |   FAIL
100 | 0xFB814098 | -1.3422328232926573e+36 |  s=0x1 e=0xF7 m=0x014098 || 0xE8E092C9 | -8.48414240299171e+24 |  s=0x1 e=0xD1 m=0x6092C9 || 0xFB814098 | -1.3422328232926573e+36 |  s=0x1 e=0xF7 m=0x014098 | 0xFB814098 | -1.3422328232926573e+36 |  s=0x1 e=0xF7 m=0x014098 |   PASS
010 | 0x18F6D698 | 6.380619390346011e-24 |  s=0x0 e=0x31 m=0x76D698 || 0x9902D6B3 | -6.764200638927012e-24 |  s=0x1 e=0x32 m=0x02D6B3 || 0x96ED6CE0 | -3.8358124858100133e-25 |  s=0x1 e=0x2D m=0x6D6CE0 | 0x96ED6CE0 | -3.8358124858100133e-25 |  s=0x1 e=0x2D m=0x6D6CE0 |   PASS
000 | 0x7F7FFFFF | 3.4028234663852886e+38 |  s=0x0 e=0xFE m=0x7FFFFF || 0x7F7FFFFF | 3.4028234663852886e+38 |  s=0x0 e=0xFE m=0x7FFFFF || 0x7FFFFFFF |                  nan |  s=0x0 e=0xFF m=0x7FFFFF | 0x7F800000 |                  inf |  s=0x0 e=0xFF m=0x000000 |   FAIL
001 | 0x007D2067 | 1.1491060790510476e-38 |  s=0x0 e=0x00 m=0x7D2067 || 0x5183E7D1 |        70816243712.0 |  s=0x0 e=0xA3 m=0x03E7D1 || 0x5183E7D1 |        70816243712.0 |  s=0x0 e=0xA3 m=0x03E7D1 | 0x5183E7D1 |        70816243712.0 |  s=0x0 e=0xA3 m=0x03E7D1 |   PASS
010 | 0x0025B415 | 3.462514618349513e-39 |  s=0x0 e=0x00 m=0x25B415 || 0x7B2F9599 | 9.116861511834036e+35 |  s=0x0 e=0xF6 m=0x2F9599 || 0x7B2F9599 | 9.116861511834036e+35 |  s=0x0 e=0xF6 m=0x2F9599 | 0x7B2F9599 | 9.116861511834036e+35 |  s=0x0 e=0xF6 m=0x2F9599 |   PASS
011 | 0x77C146B4 | 7.840213464365077e+33 |  s=0x0 e=0xEF m=0x4146B4 || 0x1F559421 | 4.522703380070018e-20 |  s=0x0 e=0x3E m=0x559421 || 0x77C146B4 | 7.840213464365077e+33 |  s=0x0 e=0xEF m=0x4146B4 | 0x77C146B5 | 7.840214083335097e+33 |  s=0x0 e=0xEF m=0x4146B5 |   FAIL
010 | 0x130F3DB2 | 1.8079555648998402e-27 |  s=0x0 e=0x26 m=0x0F3DB2 || 0xA46954DD | -5.0595703233055365e-17 |  s=0x1 e=0x48 m=0x6954DD || 0xA46954DD | -5.0595703233055365e-17 |  s=0x1 e=0x48 m=0x6954DD | 0xA46954DD | -5.0595703233055365e-17 |  s=0x1 e=0x48 m=0x6954DD |   PASS
000 | 0xCB6C683F |          -15493183.0 |  s=0x1 e=0x96 m=0x6C683F || 0xCC94E92A |          -78072144.0 |  s=0x1 e=0x99 m=0x14E92A || 0xCCB27631 |          -93565320.0 |  s=0x1 e=0x99 m=0x327631 | 0xCCB27632 |          -93565328.0 |  s=0x1 e=0x99 m=0x327632 |   FAIL
011 | 0x000647E1 | 5.767982699899882e-40 |  s=0x0 e=0x00 m=0x0647E1 || 0x980255BE | -1.6845394934657378e-24 |  s=0x1 e=0x30 m=0x0255BE || 0x980255BE | -1.6845394934657378e-24 |  s=0x1 e=0x30 m=0x0255BE | 0x980255BD | -1.6845392962505115e-24 |  s=0x1 e=0x30 m=0x0255BD |   FAIL
000 | 0x7FC00001 |                  nan |  s=0x0 e=0xFF m=0x400001 || 0x3C000001 | 0.007812500931322575 |  s=0x0 e=0x78 m=0x000001 || 0x7FC00001 |                  nan |  s=0x0 e=0xFF m=0x400001 | 0x7FC00001 |                  nan |  s=0x0 e=0xFF m=0x400001 |   PASS
000 | 0xFF563226 | -2.8471517667246368e+38 |  s=0x1 e=0xFE m=0x563226 || 0xA64EC5EC | -7.173884136881621e-16 |  s=0x1 e=0x4C m=0x4EC5EC || 0xFF563226 | -2.8471517667246368e+38 |  s=0x1 e=0xFE m=0x563226 | 0xFF563226 | -2.8471517667246368e+38 |  s=0x1 e=0xFE m=0x563226 |   PASS
001 | 0x0A11E1C2 | 7.02395637372337e-33 |  s=0x0 e=0x14 m=0x11E1C2 || 0x8928A66B | -2.0300513768922354e-33 |  s=0x1 e=0x12 m=0x28A66B || 0x09CF7050 | 4.993905547844111e-33 |  s=0x0 e=0x13 m=0x4F7050 | 0x09CF704E | 4.993904813160142e-33 |  s=0x0 e=0x13 m=0x4F704E |   FAIL
011 | 0xC2A39234 |   -81.78555297851562 |  s=0x1 e=0x85 m=0x239234 || 0xA6CE5E1C | -1.4319629839255454e-15 |  s=0x1 e=0x4D m=0x4E5E1C || 0xC2A39234 |   -81.78555297851562 |  s=0x1 e=0x85 m=0x239234 | 0xC2A39234 |   -81.78555297851562 |  s=0x1 e=0x85 m=0x239234 |   PASS
010 | 0x52E6C7E8 |       495598174208.0 |  s=0x0 e=0xA5 m=0x66C7E8 || 0x810E766D | -2.6166247239955375e-38 |  s=0x1 e=0x02 m=0x0E766D || 0x52E6C7E8 |       495598174208.0 |  s=0x0 e=0xA5 m=0x66C7E8 | 0x52E6C7E7 |       495598141440.0 |  s=0x0 e=0xA5 m=0x66C7E7 |   FAIL
011 | 0x1A9A35B5 | 6.37796755552702e-23 |  s=0x0 e=0x35 m=0x1A35B5 || 0x12D0E725 | 1.318362698917725e-27 |  s=0x0 e=0x25 m=0x50E725 || 0x1A9A3685 | 6.378098821981649e-23 |  s=0x0 e=0x35 m=0x1A3685 | 0x1A9A3686 | 6.378099453070373e-23 |  s=0x0 e=0x35 m=0x1A3686 |   FAIL
001 | 0x0060ADCB | 8.878552801143432e-39 |  s=0x0 e=0x00 m=0x60ADCB || 0x20E6C413 |  3.9093266607595e-19 |  s=0x0 e=0x41 m=0x66C413 || 0x20E6C413 |  3.9093266607595e-19 |  s=0x0 e=0x41 m=0x66C413 | 0x20E6C413 |  3.9093266607595e-19 |  s=0x0 e=0x41 m=0x66C413 |   PASS
001 | 0xEC7A549A | -1.2105238979472228e+27 |  s=0x1 e=0xD8 m=0x7A549A || 0x10C6F99E | 7.848182578971215e-29 |  s=0x0 e=0x21 m=0x46F99E || 0xEC7A549A | -1.2105238979472228e+27 |  s=0x1 e=0xD8 m=0x7A549A | 0xEC7A5499 | -1.2105238241602465e+27 |  s=0x1 e=0xD8 m=0x7A5499 |   FAIL
010 | 0x001C0417 | 2.572861051915902e-39 |  s=0x0 e=0x00 m=0x1C0417 || 0x241B0319 | 3.3612891163953656e-17 |  s=0x0 e=0x48 m=0x1B0319 || 0x241B0319 | 3.3612891163953656e-17 |  s=0x0 e=0x48 m=0x1B0319 | 0x241B0319 | 3.3612891163953656e-17 |  s=0x0 e=0x48 m=0x1B0319 |   PASS
010 | 0xA2912AAC | -3.934750935765718e-18 |  s=0x1 e=0x45 m=0x112AAC || 0x1201B978 | 4.093383059380297e-28 |  s=0x0 e=0x24 m=0x01B978 || 0xA2912AAC | -3.934750935765718e-18 |  s=0x1 e=0x45 m=0x112AAC | 0xA2912AAC | -3.934750935765718e-18 |  s=0x1 e=0x45 m=0x112AAC |   PASS
011 | 0xB09A30C8 | -1.1218839190973995e-09 |  s=0x1 e=0x61 m=0x1A30C8 || 0xEE381452 | -1.4242451889392845e+28 |  s=0x1 e=0xDC m=0x381452 || 0xEE381452 | -1.4242451889392845e+28 |  s=0x1 e=0xDC m=0x381452 | 0xEE381452 | -1.4242451889392845e+28 |  s=0x1 e=0xDC m=0x381452 |   PASS
